symbol,n_quote,spread_bps,ask1_depth,rv20_bps,friction,depth,stratum,ok,tick,tick_share,median_price,rel_tick_bps,mean_spread_ticks,frac_one_tick,n_quotes,traded_value
272290,11599,15.39645881447267,189.0,7.616146230007281,L,deep,L-deep,True,50.0,0.9783291183395831,32575.0,15.349194167306216,1.3632209673247693,0.7037675661694973,11599,5173036000.0
272450,2908,15.735641227380016,787.0,7.788161993769194,L,deep,L-deep,True,10.0,0.8944048033414549,6395.0,15.63721657544957,1.6506189821182944,0.561554332874828,2908,1620051000.0
272550,1939,17.241379310344826,74.0,4.315925766076312,L,shallow,L-shallow,True,10.0,0.9395454545454546,11585.0,8.631851532153647,1.7338834450747809,0.45435791645177925,1939,98146000.0
273060,2038,36.26473254759746,362.0,18.621973929235924,H,deep,H-deep,True,1.0,0.7108538710480458,1076.0,9.293680297397769,4.694308145240432,0.19381746810598627,2038,328967000.0
273640,1038,41.69562195969423,44.0,14.015416958654825,H,shallow,H-shallow,True,10.0,0.735445205479452,7185.0,13.917884481558804,3.2678227360308285,0.23892100192678228,1038,119582000.0
274090,13918,23.391812865497077,276.0,11.210762331839152,M,deep,M-deep,True,50.0,0.985430535850704,21875.0,22.857142857142858,1.4019974134214686,0.6861618048570197,13918,11366361000.0
274400,772,29.11208151382824,84.0,21.551724137931494,M,shallow,M-shallow,True,5.0,0.7070822454308094,3452.5,14.48225923244026,3.0427461139896375,0.34196891191709844,772,41745000.0
275630,1096,81.13590263691684,9.0,50.99440387775877,H,shallow,H-shallow,True,5.0,0.6933179723502304,2412.5,20.72538860103627,3.957116788321168,0.15237226277372262,1096,56974000.0
276040,1308,48.95960832313341,185.0,18.220603760611965,H,deep,H-deep,True,1.0,0.8362635239567233,819.0,12.21001221001221,4.890672782874618,0.09250764525993883,1308,158073000.0
276730,2458,15.20912547528517,248.0,7.610350076103778,L,deep,L-deep,True,1.0,0.8948875255623722,661.0,15.128593040847202,2.2070789259560617,0.5748576078112286,2458,46839000.0
277070,833,60.06006006006006,29.0,18.28153564899404,H,shallow,H-shallow,True,5.0,0.7209302325581395,4090.0,12.224938875305623,5.387755102040816,0.11044417767106843,833,83720000.0
277410,1061,26.99055330634278,180.0,8.95656068069961,M,deep,M-deep,True,1.0,0.6980861244019139,1117.5,8.94854586129754,4.480678605089538,0.13383600377002827,1061,33855000.0
277810,46965,13.995801259622112,72.0,0.0,L,shallow,L-shallow,True,1000.0,0.998220994950963,714500.0,13.995801259622112,1.0991163632492282,0.9069945704247844,46965,103784950000.0
277880,14160,21.929824561403507,313.0,5.885815185403542,M,deep,M-deep,True,5.0,0.9295990314080194,4297.5,11.634671320535194,1.9616525423728814,0.4922316384180791,14160,5520363000.0
278280,6481,10.723860589812334,44.0,5.3763440860210565,L,shallow,L-shallow,True,50.0,0.8372947949894967,46725.0,10.700909577314071,1.4835673507174818,0.6867767319858047,6481,1386419000.0
278470,36837,15.30221882172915,210.0,0.0,L,deep,L-deep,True,500.0,0.9916024304603062,327250.0,15.278838808250573,1.0711222107606275,0.9356642597317987,36838,88130206000.0
278650,3027,8.26787928896238,45.0,12.269938650306678,L,shallow,L-shallow,True,1.0,0.6771007002334112,1218.5,8.206811653672547,3.036339610175091,0.5189957053187975,3027,194505000.0
279570,85749,14.461315979754158,9250.0,0.0,L,deep,L-deep,True,10.0,0.9996344274957694,6915.0,14.461315979754158,1.0164783262778574,0.9838132223116305,85749,54225071000.0
279600,742,35.08771929824562,22.5,51.83802948311278,H,shallow,H-shallow,True,10.0,0.8869565217391304,5815.0,17.196904557179707,5.272237196765499,0.3908355795148248,742,48445000.0
280360,4022,8.972633467922835,16.0,4.470272686634136,L,shallow,L-shallow,True,100.0,0.794647355163728,111850.0,8.940545373267769,1.5724583644046732,0.7136465324384788,4023,1360682000.0
281740,25772,5.155968032998196,179.0,2.577984016498558,L,deep,L-deep,True,10.0,0.8412732530873848,19545.0,5.116398055768739,2.045010088468105,0.586062393295049,25772,12968892000.0
